,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
10,2022-01-14,19:30,Super League,Matchweek 12,Fri,Away,D,1,1,Goa,33.0,,Hernán,4-2-3-1,R. Venkatesh,Match Report,,11,3,,0,0,2021,NorthEast United
11,2022-01-18,19:30,Super League,Matchweek 13,Tue,Home,L,0,2,Odisha,54.0,,Hernán,4-3-3,Ashwin Mohanlal,Match Report,,13,2,,0,0,2021,NorthEast United
12,2022-01-22,19:30,Super League,Matchweek 14,Sat,Away,L,1,2,Chennaiyin,47.0,,Hernán,4-3-3,Crystal John,Match Report,,28,6,,0,0,2021,NorthEast United
13,2022-01-25,19:30,Super League,Matchweek 15,Tue,Away,D,1,1,Mumbai City,52.0,,Subhasish Roy Chowdhury,4-4-2,Rowan Arumughan,Match Report,,11,3,,0,0,2021,NorthEast United
14,2022-01-31,19:30,Super League,Matchweek 16,Mon,Home,L,0,5,Hyderabad FC,50.0,,Subhasish Roy Chowdhury,4-2-3-1,R. Venkatesh,Match Report,,8,3,,0,0,2021,NorthEast United
15,2022-02-04,19:30,Super League,Matchweek 17,Fri,Away,L,1,2,Kerala Blasters,46.0,,Subhasish Roy Chowdhury,4-3-3,Pratik Mondal,Match Report,,10,1,,0,0,2021,NorthEast United
16,2022-02-12,19:30,Super League,Matchweek 22,Sat,Away,L,1,3,Mohun Bagan,43.0,,Subhasish Roy Chowdhury,4-2-3-1,R. Venkatesh,Match Report,,24,5,,0,0,2021,NorthEast United
17,2022-02-18,19:30,Super League,Matchweek 18,Fri,Home,W,2,1,Bengaluru,35.0,,Hernán,4-3-3,R. Venkatesh,Match Report,,14,5,,0,0,2021,NorthEast United
18,2022-02-25,19:30,Super League,Matchweek 21,Fri,Home,L,2,3,Jamshedpur,58.0,,Hernán,4-3-2-1,Rowan Arumughan,Match Report,,11,4,,0,0,2021,NorthEast United
19,2022-02-28,19:30,Super League,Matchweek 19,Mon,Away,D,1,1,East Bengal,48.0,,Deshorn Brown,4-2-3-1,Tejas Nagvenkar,Match Report,,9,3,,0,0,2021,NorthEast United
0,2021-11-21,19:30,Super League,Matchweek 1,Sun,Home,D,1,1,Jamshedpur,37.0,,Arindam Bhattacharya,4-4-2,Crystal John,Match Report,,11,2,,0,0,2021,East Bengal
1,2021-11-27,19:30,Super League,Matchweek 2,Sat,Home,L,0,3,Mohun Bagan,55.0,,Arindam Bhattacharya,3-4-3,Rahul Kumar Gupta,Match Report,,7,0,,0,0,2021,East Bengal
2,2021-11-30,19:30,Super League,Matchweek 3,Tue,Away,L,4,6,Odisha,46.0,,Franjo Prce,4-4-2,Harish Kundu,Match Report,,15,4,,1,1,2021,East Bengal
3,2021-12-03,19:30,Super League,Matchweek 4,Fri,Away,D,0,0,Chennaiyin,42.0,,Tomislav Mrčela,4-4-1-1,Crystal John,Match Report,,11,1,,0,0,2021,East Bengal
4,2021-12-07,19:30,Super League,Matchweek 5,Tue,Home,L,3,4,Goa,28.0,,Tomislav Mrčela,4-4-2,C. R. Srikrishna,Match Report,,9,4,,0,0,2021,East Bengal
5,2021-12-12,19:30,Super League,Matchweek 6,Sun,Home,D,1,1,Kerala Blasters,31.0,,Tomislav Mrčela,4-3-3,R. Venkatesh,Match Report,,12,4,,0,0,2021,East Bengal
6,2021-12-17,19:30,Super League,Matchweek 7,Fri,Away,L,0,2,NorthEast Utd,46.0,,Arindam Bhattacharya,4-1-4-1,Rahul Kumar Gupta,Match Report,,8,3,,0,0,2021,East Bengal
7,2021-12-23,19:30,Super League,Matchweek 8,Thu,Away,D,1,1,Hyderabad FC,33.0,,Arindam Bhattacharya,4-1-4-1,Aditya Purkayastha,Match Report,,7,1,,0,0,2021,East Bengal
8,2022-01-04,19:30,Super League,Matchweek 10,Tue,Away,D,1,1,Bengaluru,26.0,,Arindam Bhattacharya,4-1-4-1,Harish Kundu,Match Report,,5,1,,0,0,2021,East Bengal
9,2022-01-07,19:30,Super League,Matchweek 11,Fri,Home,D,0,0,Mumbai City,29.0,,Arindam Bhattacharya,4-1-4-1,S. Senthil Nathan,Match Report,,8,1,,0,0,2021,East Bengal
10,2022-01-11,19:30,Super League,Matchweek 12,Tue,Away,L,0,1,Jamshedpur,37.0,,Arindam Bhattacharya,4-1-4-1,Crystal John,Match Report,,7,1,,0,0,2021,East Bengal
11,2022-01-19,19:30,Super League,Matchweek 13,Wed,Away,W,2,1,Goa,29.0,,Mohammed Rafique,4-3-3,Aditya Purkayastha,Match Report,,4,2,,0,0,2021,East Bengal
12,2022-01-24,19:30,Super League,Matchweek 14,Mon,Home,L,0,4,Hyderabad FC,51.0,,Mohammed Rafique,4-4-2,Rahul Kumar Gupta,Match Report,,12,5,,0,1,2021,East Bengal
13,2022-01-29,19:30,Super League,Matchweek 15,Sat,Away,L,1,3,Mohun Bagan,27.0,,Adil Khan,4-4-2,Crystal John,Match Report,,13,4,,0,0,2021,East Bengal
14,2022-02-02,19:30,Super League,Matchweek 16,Wed,Home,D,2,2,Chennaiyin,48.0,,Adil Khan,4-3-3,Ashwin Mohanlal,Match Report,,26,4,,0,0,2021,East Bengal
15,2022-02-07,19:30,Super League,Matchweek 17,Mon,Home,L,1,2,Odisha,46.0,,Adil Khan,5-4-1,Rowan Arumughan,Match Report,,15,2,,0,0,2021,East Bengal
16,2022-02-14,19:30,Super League,Matchweek 21,Mon,Away,L,0,1,Kerala Blasters,51.0,,Mohammed Rafique,4-2-3-1,Aditya Purkayastha,Match Report,,9,1,,0,0,2021,East Bengal
17,2022-02-22,19:30,Super League,Matchweek 18,Tue,Away,L,0,1,Mumbai City,44.0,,Mohammed Rafique,4-4-2,Ashwin Mohanlal,Match Report,,13,5,,0,0,2021,East Bengal
18,2022-02-28,19:30,Super League,Matchweek 19,Mon,Home,D,1,1,NorthEast Utd,52.0,,Mohammed Rafique,4-4-2,Tejas Nagvenkar,Match Report,,18,6,,1,1,2021,East Bengal
19,2022-03-05,19:30,Super League,Matchweek 20,Sat,Home,L,0,1,Bengaluru,38.0,,Raju Gaikwad,4-4-2,S. Senthil Nathan,Match Report,,17,5,,0,0,2021,East Bengal
